mysql> select category, description, count(refseq.id) from go, refseq, gorefs where category = 'Function' and gorefs.refseq_id = refseq.id and go.id = gorefs.go_id group by go.description order by count(refseq.id) desc;
+----------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------------+
| category | description                                                                                                                                                                                 | count(refseq.id) |
| Function | microtubule motor activity                                                                                                                                                                  |                5 | 
| Function | alpha-N-acetylneuraminate alpha-2,8-sialyltransferase activity                                                                                                                              |                5 | 
| Function | GMP reductase activity                                                                                                                                                                      |                5 | 
| Function | adenine phosphoribosyltransferase activity                                                                                                                                                  |                5 | 
| Function | N6-(1,2-dicarboxyethyl)AMP AMP-lyase (fumarate-forming) activity                                                                                                                            |                5 | 
| Function | aldehyde dehydrogenase (NAD) activity                                                                                                                                                       |                5 | 
| Function | aldehyde reductase activity                                                                                                                                                                 |                5 | 
| Function | aryldialkylphosphatase activity                                                                                                                                                             |                5 | 
| Function | carbonyl reductase (NADPH) activity                                                                                                                                                         |                5 | 
| Function | serine-type carboxypeptidase activity                                                                                                                                                       |                5 | 
| Function | estradiol 17-beta-dehydrogenase activity                                                                                                                                                    |                5 | 
| Function | glutamate-ammonia ligase activity                                                                                                                                                           |                5 | 
| Function | hydroxymethylglutaryl-CoA synthase activity                                                                                                                                                 |                5 | 
| Function | inositol or phosphatidylinositol kinase activity                                                                                                                                            |                5 | 
| Function | isocitrate dehydrogenase (NAD+) activity                                                                                                                                                    |                5 | 
| Function | ribonuclease activity                                                                                                                                                                       |                5 | 
| Function | phosphopyruvate hydratase activity                                                                                                                                                          |                5 | 
| Function | prenyltransferase activity                                                                                                                                                                  |                5 | 
| Function | protein tyrosine kinase activity                                                                                                                                                            |                5 | 
| Function | non-membrane spanning protein tyrosine kinase activity                                                                                                                                      |                5 | 
| Function | non-membrane spanning protein tyrosine phosphatase activity                                                                                                                                 |                5 | 
| Function | pyruvate dehydrogenase (acetyl-transferring) activity                                                                                                                                       |                5 | 
| Function | pyruvate kinase activity                                                                                                                                                                    |                5 | 
| Function | triglyceride lipase activity                                                                                                                                                                |                5 | 
| Function | serine-tRNA ligase activity                                                                                                                                                                 |                5 | 
| Function | uridine phosphorylase activity                                                                                                                                                              |                5 | 
| Function | insulin-like growth factor receptor binding                                                                                                                                                 |                5 | 
| Function | sulfotransferase activity                                                                                                                                                                   |                5 | 
| Function | ferrous iron binding                                                                                                                                                                        |                5 | 
| Function | Ran GTPase binding                                                                                                                                                                          |                5 | 
| Function | S-adenosylmethionine-dependent methyltransferase activity                                                                                                                                   |                5 | 
| Function | photoreceptor activity                                                                                                                                                                      |                5 | 
| Function | antiporter activity                                                                                                                                                                         |                5 | 
| Function | peptidase activator activity                                                                                                                                                                |                5 | 
| Function | carboxy-lyase activity                                                                                                                                                                      |                5 | 
| Function | galactoside binding                                                                                                                                                                         |                5 | 
| Function | transcription initiation factor activity                                                                                                                                                    |                5 | 
| Function | NEDD8 activating enzyme activity                                                                                                                                                            |                5 | 
| Function | kinase binding                                                                                                                                                                              |                5 | 
| Function | ligand-dependent nuclear receptor transcription coactivator activity                                                                                                                        |                5 | 
| Function | lactose binding                                                                                                                                                                             |                5 | 
| Function | endoplasmic reticulum signal peptide binding                                                                                                                                                |                5 | 
| Function | bile acid binding                                                                                                                                                                           |                5 | 
| Function | acetylcholine binding                                                                                                                                                                       |                5 | 
| Function | phosphoric ester hydrolase activity                                                                                                                                                         |                5 | 
| Function | histone deacetylase binding                                                                                                                                                                 |                5 | 
| Function | ribonucleoprotein binding                                                                                                                                                                   |                5 | 
| Function | cell surface binding                                                                                                                                                                        |                5 | 
| Function | translation regulator activity                                                                                                                                                              |                5 | 
| Function | alpha(1,3)-fucosyltransferase activity                                                                                                                                                      |                5 | 
| Function | monosaccharide binding                                                                                                                                                                      |                5 | 
| Function | 2 iron, 2 sulfur cluster binding                                                                                                                                                            |                5 | 
| Function | peroxiredoxin activity                                                                                                                                                                      |                5 | 
| Function | four-way junction DNA binding                                                                                                                                                               |                4 | 
| Function | phosphatidylserine binding                                                                                                                                                                  |                4 | 
| Function | single-stranded RNA binding                                                                                                                                                                 |                4 | 
| Function | actin monomer binding                                                                                                                                                                       |                4 | 
| Function | beta-galactoside alpha-2,6-sialyltransferase activity                                                                                                                                       |                4 | 
| Function | gamma-glutamyltransferase activity                                                                                                                                                          |                4 | 
| Function | 1-acylglycerol-3-phosphate O-acyltransferase activity                                                                                                                                       |                4 | 
| Function | 3-hydroxyacyl-CoA dehydrogenase activity                                                                                                                                                    |                4 | 
| Function | DNA-(apurinic or apyrimidinic site) lyase activity                                                                                                                                          |                4 | 
| Function | NAD(P)H dehydrogenase (quinone) activity                                                                                                                                                    |                4 | 
| Function | adenylosuccinate synthase activity                                                                                                                                                          |                4 | 
| Function | aldo-keto reductase activity                                                                                                                                                                |                4 | 
| Function | argininosuccinate lyase activity                                                                                                                                                            |                4 | 
| Function | dodecenoyl-CoA delta-isomerase activity                                                                                                                                                     |                4 | 
| Function | dopachrome isomerase activity                                                                                                                                                               |                4 | 
| Function | glutamate decarboxylase activity                                                                                                                                                            |                4 | 
| Function | glyceraldehyde-3-phosphate dehydrogenase (phosphorylating) activity                                                                                                                         |                4 | 
| Function | heme oxygenase (decyclizing) activity                                                                                                                                                       |                4 | 
| Function | holocytochrome-c synthase activity                                                                                                                                                          |                4 | 
| Function | tryptophan 5-monooxygenase activity                                                                                                                                                         |                4 | 
| Function | endodeoxyribonuclease activity                                                                                                                                                              |                4 | 
| Function | alpha-amylase activity                                                                                                                                                                      |                4 | 
| Function | phosphoglycerate mutase activity                                                                                                                                                            |                4 | 
| Function | phosphoribosylamine-glycine ligase activity                                                                                                                                                 |                4 | 
| Function | phosphoribosylformylglycinamidine cyclo-ligase activity                                                                                                                                     |                4 | 
| Function | phosphoribosylglycinamide formyltransferase activity                                                                                                                                        |                4 | 
| Function | Rab geranylgeranyltransferase activity                                                                                                                                                      |                4 | 
| Function | tryptophan-tRNA ligase activity                                                                                                                                                             |                4 | 
| Function | cysteine-type endopeptidase inhibitor activity                                                                                                                                              |                4 | 
| Function | serotonin receptor activity                                                                                                                                                                 |                4 | 
| Function | SH3/SH2 adaptor activity                                                                                                                                                                    |                4 | 
| Function | insulin receptor binding                                                                                                                                                                    |                4 | 
| Function | platelet-derived growth factor receptor binding                                                                                                                                             |                4 | 
| Function | tumor necrosis factor receptor binding                                                                                                                                                      |                4 | 
| Function | voltage-gated sodium channel activity                                                                                                                                                       |                4 | 
| Function | potassium channel activity                                                                                                                                                                  |                4 | 
| Function | long-chain fatty acid transporter activity                                                                                                                                                  |                4 | 
| Function | calcium-transporting ATPase activity                                                                                                                                                        |                4 | 
| Function | sodium:potassium-exchanging ATPase activity                                                                                                                                                 |                4 | 
| Function | collagen binding                                                                                                                                                                            |                4 | 
| Function | beta-catenin binding                                                                                                                                                                        |                4 | 
| Function | DNA-dependent ATPase activity                                                                                                                                                               |                4 | 
| Function | protein phosphatase 1 binding                                                                                                                                                               |                4 | 
| Function | galactosyltransferase activity                                                                                                                                                              |                4 | 
| Function | thioredoxin peroxidase activity                                                                                                                                                             |                4 | 
| Function | N-acetylmuramoyl-L-alanine amidase activity                                                                                                                                                 |                4 | 
| Function | homocysteine S-methyltransferase activity                                                                                                                                                   |                4 | 
| Function | glucuronosyltransferase activity                                                                                                                                                            |                4 | 
| Function | L-cystine transmembrane transporter activity                                                                                                                                                |                4 | 
| Function | cholesterol binding                                                                                                                                                                         |                4 | 
| Function | cyclosporin A binding                                                                                                                                                                       |                4 | 
| Function | AMP binding                                                                                                                                                                                 |                4 | 
| Function | C-C chemokine receptor activity                                                                                                                                                             |                4 | 
| Function | C-X-C chemokine receptor activity                                                                                                                                                           |                4 | 
| Function | oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced pteridine as one donor, and incorporation of one atom of oxygen              |                4 | 
| Function | phosphotransferase activity, alcohol group as acceptor                                                                                                                                      |                4 | 
| Function | nucleotidyltransferase activity                                                                                                                                                             |                4 | 
| Function | U6 snRNA binding                                                                                                                                                                            |                4 | 
| Function | DNA N-glycosylase activity                                                                                                                                                                  |                4 | 
| Function | nucleoside kinase activity                                                                                                                                                                  |                4 | 
| Function | protein phosphatase binding                                                                                                                                                                 |                4 | 
| Function | syntaxin binding                                                                                                                                                                            |                4 | 
| Function | cytokine binding                                                                                                                                                                            |                4 | 
| Function | enzyme regulator activity                                                                                                                                                                   |                4 | 
| Function | nitric-oxide synthase regulator activity                                                                                                                                                    |                4 | 
| Function | translation repressor activity                                                                                                                                                              |                4 | 
| Function | calcium-dependent ATPase activity                                                                                                                                                           |                4 | 
| Function | kininogen binding                                                                                                                                                                           |                4 | 
| Function | lipoic acid binding                                                                                                                                                                         |                4 | 
| Function | sterol binding                                                                                                                                                                              |                4 | 
| Function | protein deacetylase activity                                                                                                                                                                |                4 | 
| Function | fructose 1,6-bisphosphate 1-phosphatase activity                                                                                                                                            |                4 | 
| Function | MHC class I protein binding                                                                                                                                                                 |                4 | 
| Function | protein self-association                                                                                                                                                                    |                4 | 
| Function | androgen receptor binding                                                                                                                                                                   |                4 | 
| Function | thyroid hormone binding                                                                                                                                                                     |                4 | 
| Function | tRNA-intron endonuclease activity                                                                                                                                                           |                3 | 
| Function | nucleoside binding                                                                                                                                                                          |                3 | 
| Function | glycoprotein binding                                                                                                                                                                        |                3 | 
| Function | adenine binding                                                                                                                                                                             |                3 | 
| Function | DNA replication origin binding                                                                                                                                                              |                3 | 
| Function | 3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring) activity                                                                                                             |                3 | 
| Function | 4-hydroxyphenylpyruvate dioxygenase activity                                                                                                                                                |                3 | 
| Function | 6-phosphofructo-2-kinase activity                                                                                                                                                           |                3 | 
| Function | 6-pyruvoyltetrahydropterin synthase activity                                                                                                                                                |                3 | 
| Function | NAD+ kinase activity                                                                                                                                                                        |                3 | 
| Function | acyl-CoA dehydrogenase activity                                                                                                                                                             |                3 | 
| Function | adenosine deaminase activity                                                                                                                                                                |                3 | 
| Function | alkaline phosphatase activity                                                                                                                                                               |                3 | 
| Function | aminoacyl-tRNA hydrolase activity                                                                                                                                                           |                3 | 
| Function | bisphosphoglycerate mutase activity                                                                                                                                                         |                3 | 
| Function | 2,3-bisphospho-D-glycerate 2-phosphohydrolase activity                                                                                                                                      |                3 | 
| Function | cholinesterase activity                                                                                                                                                                     |                3 | 
| Function | 3',5'-cyclic-nucleotide phosphodiesterase activity                                                                                                                                          |                3 | 
| Function | diphthine synthase activity                                                                                                                                                                 |                3 | 
| Function | dUTP diphosphatase activity                                                                                                                                                                 |                3 | 
| Function | glutaryl-CoA dehydrogenase activity                                                                                                                                                         |                3 | 
| Function | glycerol-3-phosphate dehydrogenase (NAD+) activity                                                                                                                                          |                3 | 
| Function | hydroxymethylglutaryl-CoA lyase activity                                                                                                                                                    |                3 | 
| Function | inorganic diphosphatase activity                                                                                                                                                            |                3 | 
| Function | inositol or phosphatidylinositol phosphatase activity                                                                                                                                       |                3 | 
| Function | ketohexokinase activity                                                                                                                                                                     |                3 | 
| Function | lactate dehydrogenase activity                                                                                                                                                              |                3 | 
| Function | mannose-6-phosphate isomerase activity                                                                                                                                                      |                3 | 
| Function | mevalonate kinase activity                                                                                                                                                                  |                3 | 
| Function | deoxyribonuclease II activity                                                                                                                                                               |                3 | 
| Function | dolichyl-diphosphooligosaccharide-protein glycotransferase activity                                                                                                                         |                3 | 
| Function | ornithine carbamoyltransferase activity                                                                                                                                                     |                3 | 
| Function | peptide alpha-N-acetyltransferase activity                                                                                                                                                  |                3 | 
| Function | phosphogluconate dehydrogenase (decarboxylating) activity                                                                                                                                   |                3 | 
| Function | phosphoribosylaminoimidazole carboxylase activity                                                                                                                                           |                3 | 
| Function | phosphoribosylaminoimidazolesuccinocarboxamide synthase activity                                                                                                                            |                3 | 
| Function | porphobilinogen synthase activity                                                                                                                                                           |                3 | 
| Function | purine-nucleoside phosphorylase activity                                                                                                                                                    |                3 | 
| Function | sterol esterase activity                                                                                                                                                                    |                3 | 
| Function | phenylalanine-tRNA ligase activity                                                                                                                                                          |                3 | 
| Function | ubiquitin-specific protease activity                                                                                                                                                        |                3 | 
| Function | uracil DNA N-glycosylase activity                                                                                                                                                           |                3 | 
| Function | ciliary neurotrophic factor receptor activity                                                                                                                                               |                3 | 
| Function | growth hormone receptor activity                                                                                                                                                            |                3 | 
| Function | receptor signaling protein activity                                                                                                                                                         |                3 | 
| Function | hematopoietin/interferon-class (D200-domain) cytokine receptor signal transducer activity                                                                                                   |                3 | 
| Function | small GTPase regulator activity                                                                                                                                                             |                3 | 
| Function | erythropoietin receptor binding                                                                                                                                                             |                3 | 
| Function | extracellular matrix structural constituent                                                                                                                                                 |                3 | 
| Function | extracellular ligand-gated ion channel activity                                                                                                                                             |                3 | 
| Function | ATP:ADP antiporter activity                                                                                                                                                                 |                3 | 
| Function | calmodulin binding                                                                                                                                                                          |                3 | 
| Function | galactose binding                                                                                                                                                                           |                3 | 
| Function | calcium sensitive guanylate cyclase activator activity                                                                                                                                      |                3 | 
| Function | chitin binding                                                                                                                                                                              |                3 | 
| Function | 5S rRNA binding                                                                                                                                                                             |                3 | 
| Function | alcohol dehydrogenase (NADP+) activity                                                                                                                                                      |                3 | 
| Function | N-acetyllactosaminide alpha-2,3-sialyltransferase activity                                                                                                                                  |                3 | 
| Function | positive transcription elongation factor activity                                                                                                                                           |                3 | 
| Function | tRNA (guanine-N7-)-methyltransferase activity                                                                                                                                               |                3 | 
| Function | eukaryotic initiation factor 4E binding                                                                                                                                                     |                3 | 
| Function | metalloexopeptidase activity                                                                                                                                                                |                3 | 
| Function | dipeptidyl-peptidase activity                                                                                                                                                               |                3 | 
| Function | structural constituent of vitelline membrane                                                                                                                                                |                3 | 
| Function | glycogenin glucosyltransferase activity                                                                                                                                                     |                3 | 
| Function | oxidized purine base lesion DNA N-glycosylase activity                                                                                                                                      |                3 | 
| Function | cAMP-dependent protein kinase regulator activity                                                                                                                                            |                3 | 
| Function | glyceraldehyde-3-phosphate dehydrogenase activity                                                                                                                                           |                3 | 
| Function | thymidine phosphorylase activity                                                                                                                                                            |                3 | 
| Function | galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase activity                                                                                                                  |                3 | 
| Function | oxoglutarate:malate antiporter activity                                                                                                                                                     |                3 | 
| Function | acetylcholine receptor activity                                                                                                                                                             |                3 | 
| Function | tubulin binding                                                                                                                                                                             |                3 | 
